Temperature,Cp
100.0,29.112
200.0,29.127
298.15,29.378
300.0,29.387
400.0,30.108
500.0,31.093
600.0,32.093
700.0,32.986
800.0,33.739
900.0,34.363
1000.0,34.88
1100.0,35.312
1200.0,35.681
1300.0,36.005
1400.0,36.296
1500.0,36.566
1600.0,36.822
1700.0,37.069
1800.0,37.31
1900.0,37.547
2000.0,37.783
2100.0,38.016
2200.0,38.248
2300.0,38.478
2400.0,38.705
2500.0,38.929
2600.0,39.15
2700.0,39.366
2800.0,39.578
2900.0,39.784
3000.0,39.986
3100.0,40.181
3200.0,40.371
3300.0,40.555
3400.0,40.734
3500.0,40.906
3600.0,41.074
3700.0,41.236
3800.0,41.393
3900.0,41.546
4000.0,41.695
4100.0,41.84
4200.0,41.981
4300.0,42.119
4400.0,42.253
4500.0,42.385
4600.0,42.515
4700.0,42.642
4800.0,42.767
4900.0,42.889
5000.0,43.009
5100.0,43.127
5200.0,43.243
5300.0,43.356
5400.0,43.467
5500.0,43.575
5600.0,43.68
5700.0,43.782
5800.0,43.881
5900.0,43.976
6000.0,44.067
6200.0,44.236
6400.0,44.386
6600.0,44.514
6800.0,44.62
7000.0,44.702
7200.0,44.758
7400.0,44.788
7600.0,44.792
7800.0,44.769
8000.0,44.721
8200.0,44.647
8400.0,44.549
8600.0,44.428
8800.0,44.286
9000.0,44.124
9200.0,43.944
9400.0,43.747
9600.0,43.536
9800.0,43.311
10000.0,43.075
10500.0,42.447
11000.0,41.782
